model,year,price,transmission,mileage,tax,mpg,engineSize,fuelType
 A1,2017,12500,Manual,15735,150,55.4,1.4,Petrol
 A6,2016,16500,Automatic,36203,20,64.2,2,Diesel
 A1,2016,11000,Manual,29946,30,55.4,1.4,Petrol
 A4,2017,16800,Automatic,25952,145,67.3,2,Diesel
 A3,2019,17300,Manual,1998,145,49.6,1,Petrol
 A1,2016,13900,Automatic,32260,30,58.9,1.4,Petrol
 A6,2016,13250,Automatic,76788,30,61.4,2,Diesel
 A4,2016,11750,Manual,75185,20,70.6,2,Diesel
 A3,2015,10200,Manual,46112,20,60.1,1.4,Petrol
 A1,2016,12000,Manual,22451,30,55.4,1.4,Petrol
 A3,2017,16100,Manual,28955,145,58.9,1.4,Petrol
 A6,2016,16500,Automatic,52198,125,57.6,2,Diesel
 Q3,2016,17000,Manual,44915,145,52.3,2,Diesel
 A3,2017,16400,Manual,21695,30,58.9,1.4,Petrol
 A6,2015,15400,Manual,47348,30,61.4,2,Diesel
 A3,2017,14500,Automatic,26156,145,58.9,1.4,Petrol
 Q3,2016,15700,Automatic,28396,145,53.3,2,Diesel
 A3,2014,13900,Automatic,30516,30,56.5,1.4,Petrol
 Q5,2016,19000,Automatic,37652,200,47.1,2,Diesel
 Q3,2014,17000,Manual,34110,145,47.9,1.4,Petrol
 A5,2017,17300,Automatic,37100,145,67.3,2,Diesel
 Q5,2016,20200,Automatic,23714,200,47.1,2,Diesel
 A5,2017,22500,Automatic,21649,145,58.9,3,Diesel
 A6,2015,17500,Automatic,62748,150,53.3,3,Diesel
 Q5,2016,20000,Automatic,23789,200,47.1,2,Diesel
 A4,2017,18500,Automatic,17418,145,62.8,2,Diesel
 A5,2017,19500,Automatic,33300,145,61.4,2,Diesel
 A1,2018,15800,Manual,10793,145,56.5,1.4,Petrol
 A4,2018,17200,Automatic,25138,145,70.6,2,Diesel
 A6,2015,14000,Manual,61176,30,62.8,2,Diesel
 A1,2015,9500,Automatic,54754,0,76.3,1.6,Diesel
 Q3,2017,16500,Manual,21369,125,51.4,1.4,Petrol
 Q3,2014,15000,Automatic,39190,205,47.9,2,Diesel
 Q3,2017,16000,Automatic,47482,150,47.9,1.4,Petrol
 Q3,2016,16900,Automatic,40501,150,51.4,2,Diesel
 Q3,2014,12300,Automatic,43195,200,47.9,2,Diesel
 A1,2017,10800,Manual,31447,145,67.3,1,Petrol
 A6,2016,19400,Automatic,34030,125,58.9,2,Diesel
 A4,2017,16000,Manual,29063,145,70.6,2,Diesel
 A3,2017,17100,Manual,29545,145,65.7,2,Diesel
 A3,2015,11300,Manual,75619,20,68.9,2,Diesel
 Q3,2016,17200,Automatic,39603,160,50.4,2,Diesel
 Q3,2017,20300,Automatic,42908,145,51.4,2,Diesel
 A5,2014,13200,Automatic,83872,125,58.9,2,Diesel
 Q3,2016,15200,Automatic,58750,145,47.9,1.4,Petrol
 A3,2019,15700,Manual,2029,145,49.6,1,Petrol
 A6,2018,16600,Automatic,22958,145,50.4,1.8,Petrol
 A4,2017,14400,Automatic,32097,145,72.4,2,Diesel
 A5,2017,20200,Automatic,13057,145,53.3,2,Petrol
 S4,2017,23700,Automatic,20278,145,38.7,3,Petrol
 A4,2016,12750,Manual,52561,0,74.3,2,Diesel
 A6,2015,13000,Automatic,31604,20,67.3,2,Diesel
 Q3,2016,15900,Manual,32011,145,49.6,1.4,Petrol
 Q3,2016,15000,Manual,39134,30,60.1,2,Diesel
 Q5,2015,14700,Automatic,89483,205,47.1,2,Diesel
 A3,2015,15000,Automatic,56291,200,42.8,1.8,Petrol
 A6,2016,16000,Automatic,47767,20,61.4,2,Diesel
 A1,2014,11000,Manual,34315,125,53.3,1.4,Petrol
 A3,2016,10200,Manual,66369,0,83.1,1.6,Diesel
 A6,2016,18500,Manual,34110,30,61.4,2,Diesel
